bha	sam
1	
2	20
2	31
3	22
3	23
4	24
4	25
5	28
5	30
6	36
6	38
7	55
8	56
9	57
9	60
10	62
10	64
11	65
12	67
13	68
14	69
15	70
16	74
17	75
17	78
18	80
19	
20	95
21	102
22	103
22	116
22	118
22	119
23	122
23	123
24	124
25	127
26	128
27	130
28	132
29	133
30	134
31	135
32	137
33	142
34	143
35	144
36	145
37	146
38	147
38	148
39	151
40	152
41	153
42	157
42	159
43	
44	162
45	163
46	164
47	165
48	166
49	167
50	168
51	169
52	
53	
54	
55	
56	
57	170
58	171
59	172
60	
61	
62	173
63	174
64	175
65	178
66	
67	191
68	199
69	204
70	205
70	212
71	213
72	225
72	226
73	228
74	229
75	230
75	232
76	251
77	253
78	264
79	267
80	268
81	269
82	270
82	271
83	272
84	274
85	279
86	286
87	287
88	292
89	293
89	295
90	300
90	301
91	
92	315
93	316
94	329
95	336
96	338
97	338
98	339
99	340
100	341
101	342
102	347
103	348
104	350
105	353
106	354
107	
108	360
109	361
110	363
110	364
111	365
112	367
113	368
114	369
115	370
116	371
117	372
118	381
118	391
119	392
120	393
121	394
122	398
122	399
123	401
124	402
125	403
125	404
126	404
126	405
127	406
127	407
128	407
128	408
129	409
130	410
130	411
131	412
132	413
133	
134	
135	419
136	420
137	422
137	423
138	428
139	429
139	438
140	439
141	450
142	451
142	452
143	453
144	457
145	466
145	467
146	468
146	483
147	
148	490
149	492
150	498
150	499
150	500
151	505
151	506
151	507
152	509
153	510
153	511
154	511
154	512
155	521
156	522
157	523
157	525
158	526
158	527
159	527
159	528
159	529
160	
161	
162	533
163	534
163	536
164	537
164	538
165	539
166	540
167	
168	551
169	553
170	
171	576
171	577
172	578
173	579
174	580
174	582
175	584
176	585
176	586
177	588
177	589
178	591
179	592
180	593
181	598
182	600
182	602
183	603
184	604
184	605
185	605
185	606
186	608
186	609
187	614
188	616
189	621
189	622
190	623
191	624
192	632
192	633
192	634
193	637
194	639
195	642
195	643
196	643
196	644
197	645
198	646
199	647
200	651
201	653
201	654
201	655
202	657
203	649
204	689
205	690
206	715
207	
208	807
209	812
210	813
211	814
212	815
213	817
214	818
215	819
216	824
217	825
218	830
219	836
220	837
221	838
222	839
223	841
224	842
225	845
225	846
226	847
227	848
228	849
229	850
230	852
231	854
231	857
232	858
233	859
234	860
235	861
236	862
237	863
238	864
238	865
239	867
240	892
241	896
241	900
242	905
242	906
243	
244	935
245	936
246	938
247	
248	
249	
250	985
251	989
252	
253	990
254	991
254	992
255	993
256	994
257	996
257	999
258	1001
259	1003
259	1004
260	1006
261	
262	1008
263	1009
264	1010
265	1012
265	1019
266	1020
267	1025
267	1030
267	1031
268	1039
269	1040
269	1041
270	1042
271	1046
272	1047
273	1053
274	1054
275	1055
276	1059
277	1067
278	1068
279	1069
279	1070
279	1071
280	1072
281	1073
281	1077
282	1078
283	1107
284	1108
285	1109
285	1113
286	1114
287	1117
287	1118
288	1119
288	1120
289	1121
290	1122
291	1123
292	1124
293	1125
294	1127
295	1129
296	1130
297	1131
298	1132
298	1133
299	1134
300	1135
301	1136
302	1137
303	1138
304	1139
304	1140
304	1141
305	1142
306	1143
306	1144
306	1145
307	1146
307	1147
307	1150
308	1151
308	1152
309	1152
309	1153
309	1154
310	1154
310	1155
311	1156
312	1158
312	1159
313	1161
313	1162
314	1163
315	
316	1176
316	1178
317	1179
318	1180
319	1182
319	1183
320	1184
321	1185
322	
323	1221
324	1222
325	1223
325	1224
325	1225
326	1227
326	1228
327	1229
327	1230
328	1231
329	1236
330	1240
331	1244
331	1245
332	1247
333	1248
334	1249
335	1250
336	1251
336	1252
336	1254
337	1255
338	1259
338	1260
339	1275
340	1279
341	1281
341	1282
342	
343	
344	
345	
346	
347	1305
348	1308
348	1316
349	1369
349	1370
350	1372
350	1373
351	1379
351	1380
352	
353	1381
354	
355	1386
356	1387
357	1388
358	1397
359	1398
360	1399
361	1400
362	1403
362	1404
363	1405
363	1406
364	1407
364	1408
365	1409
366	1410
367	1411
368	1414
369	1415
370	
371	
372	
373	
374	
375	
376	1430
377	1432
378	1438
379	1440
379	1442
380	1447
381	1448
382	1450
383	1451
384	1452
385	1453
386	1454
387	1455
387	1456
387	1457
388	1469
388	1471
388	1472
389	1474
389	1479
390	1483
390	1485
390	1492
391	1495
392	1497
393	1501
393	1502
393	1512
394	1503
395	1505
395	1506
396	1508
396	1510
397	1516
397	1517
397	1518
398	1521
398	1522
399	1523
400	1525
400	1527
401	1527
401	1529
401	1530
402	1539
402	1540
402	1541
403	1542
404	
405	1544
405	1551
406	1552
407	1553
407	1556
408	1564
409	1565
410	1567
410	1568
411	1568
411	1569
412	1570
412	1571
413	1574
414	1575
415	1576
416	1603
417	1607
418	1610
418	1611
418	1612
419	1621
419	1622
420	1623
421	1624
422	1628
422	1633
423	1638
424	
